Mortgage Rate,Interest Rate
11.12,9.27
10.39,8.26
11.04,9.06
12.72,12.61
13.67,13.77
11.27,9.66
10.37,6.85
8.89,5.6
9.43,6.07
9.66,8.17
8.48,5.0
7.56,3.25
6.79,5.0
6.71,5.0
8.23,5.5
7.22,5.0
7.0,2.5
6.44,3.5
5.56,2.25
5.67,2.75
5.88,4.25
5.92,4.5
6.4,3.25
4.79,0.5
5.15,0.5
4.87,1.25
4.36,1.25
4.02,1.25
4.02,1.25
3.76,1.0
3.7,0.75
3.62,0.75
4.27,1.5
4.33,2.0
3.95,0.5
3.25,0.5
4.19,1.25
7.0,3.42
6.8,3.75
6.91,3.5
6.88,4.0
6.83,4.25
7.51,5.25
7.77,4.5
9.23,7.5
9.46,7.0
10.58,7.5
9.25,5.25
9.16,4.75
9.3,5.75
11.26,8.75
10.99,8.25
11.99,9.5
10.38,7.5
10.43,8.5
11.06,11.25
13.99,11.83
17.82,19.06
19.11,15.32
13.16,9.38
14.26,11.6
12.38,9.59
10.6,8.43
11.04,8.54
11.29,9.12
12.29,12.4
14.21,14.05
11.23,9.07
10.14,6.5
8.88,5.1
9.48,6.31
8.98,7.64
8.47,5.0
7.46,3.25
6.92,5.0
6.99,4.75
8.5,6.0
7.38,4.75
7.0,2.5
6.1,3.5
5.82,2.25
5.55,2.75
6.05,4.5
6.01,4.5
6.21,3.25
4.62,0.5
5.3,0.5
4.83,1.25
4.35,1.25
4.02,1.25
4.02,1.25
3.74,1.0
3.67,0.75
3.59,0.75
4.35,1.5
4.3,2.0
3.86,0.5
3.25,0.5
4.63,1.25
7.0,2.8
6.95,6.0
6.91,3.5
6.88,4.0
6.83,4.25
7.57,5.25
7.88,4.5
9.18,7.5
9.69,7.5
10.53,7.0
9.34,5.25
9.37,4.75
9.52,6.25
11.37,8.75
11.23,8.25
11.93,9.5
10.35,7.5
10.32,8.5
11.16,11.25
12.92,10.67
18.55,19.07
19.1,16.58
12.98,9.42
14.53,11.98
11.89,9.57
10.87,8.84
11.26,8.59
11.41,9.44
11.93,12.31
14.03,13.9
11.24,8.91
9.72,5.91
8.86,4.79
9.8,6.92
8.67,6.97
8.48,5.0
7.22,3.25
6.9,5.0
7.35,4.75
8.34,6.0
7.47,4.75
6.98,2.75
5.62,3.5
6.06,2.25
5.31,2.75
6.12,4.5
6.51,4.5
6.2,3.25
4.9,0.5
5.18,0.75
4.6,1.25
4.25,1.25
4.0,1.25
4.0,1.25
3.72,1.0
3.66,0.75
3.6,0.75
4.32,1.5
4.23,2.0
3.77,0.5
3.26,0.5
5.05,1.45
7.0,2.88
7.0,6.0
6.91,3.5
6.88,4.0
7.02,4.25
7.68,5.25
8.02,4.5
9.14,6.5
9.9,8.0
10.38,7.0
9.46,5.25
9.41,4.75
9.71,6.25
11.6,9.25
11.35,8.25
11.86,9.5
10.4,7.5
10.31,9.0
11.2,11.75
13.09,10.18
18.9,19.89
19.22,15.6
13.08,9.51
14.96,13.24
11.75,9.31
11.06,8.63
11.26,8.76
11.4,9.53
11.85,12.32
13.97,13.59
11.31,8.94
9.26,5.5
8.68,4.41
10.69,6.04
8.54,6.87
8.48,4.75
6.98,3.5
6.9,5.0
7.42,4.75
8.18,6.0
7.46,4.5
6.9,3.0
5.71,3.25
6.1,2.25
5.26,2.75
6.26,4.5
6.6,4.75
6.37,3.25
5.14,0.5
5.02,1.0
4.57,1.25
4.23,1.25
4.08,1.25
4.01,1.25
3.71,0.75
3.67,0.75
3.72,1.0
4.42,1.75
4.14,2.0
3.64,0.5
3.2,0.5
5.51,1.44
7.0,2.76
7.0,6.0
7.0,4.0
7.0,4.0
7.13,4.25
7.8,5.25
8.05,4.5
9.12,6.5
9.99,8.0
10.4,7.0
9.53,5.25
9.41,4.75
9.91,6.75
11.85,9.25
11.52,8.25
11.83,9.5
10.33,7.5
10.31,9.0
11.8,11.75
13.44,10.45
21.3,21.03
18.72,14.26
13.57,9.57
14.45,12.39
11.77,9.2
11.0,8.58
11.49,9.24
11.92,10.03
11.76,12.4
13.56,13.01
11.47,8.8
8.72,5.11
8.58,4.9
10.33,5.6
8.94,6.59
8.01,4.25
7.0,3.5
7.08,5.0
7.8,4.75
8.08,6.0
7.39,4.25
6.61,3.0
5.87,3.25
5.97,2.25
5.32,2.75
6.24,4.5
6.62,4.75
6.25,3.25
5.13,0.5
4.82,1.0
4.52,1.25
4.23,1.25
4.14,1.25
4.01,1.25
3.71,0.75
3.68,0.75
3.82,1.0
4.43,1.75
4.08,2.0
3.57,0.5
3.2,0.5
5.58,2.46
7.0,2.67
7.0,5.5
7.0,4.0
7.0,4.0
7.15,4.25
7.84,5.25
8.1,5.0
9.03,6.0
10.11,8.0
10.36,6.5
9.55,5.25
9.38,4.75
10.13,7.25
12.05,9.25
11.94,9.0
11.76,9.5
10.32,7.5
10.67,9.5
12.25,12.25
14.5,11.02
21.46,19.63
17.49,13.18
13.88,9.52
13.99,12.28
11.85,9.31
11.1,8.63
11.72,9.57
12.16,10.54
11.75,12.47
13.4,12.61
11.38,8.68
8.54,5.69
8.57,4.9
10.01,5.54
8.95,6.71
7.94,4.25
6.96,3.5
7.32,5.75
7.67,4.75
8.08,6.0
7.03,3.75
6.49,3.0
5.97,3.0
5.94,2.5
5.3,3.0
6.13,4.5
