REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,"Drummondville (CMA), Que.",2021S0503447,Apartment or flat in a duplex,32.5,3545,6445,1.8
2021,"Drummondville (CMA), Que.",2021S0503447,Apartment in a building that has fewer than five storeys,32.6,13610,21455,1.6
2021,"Drummondville (CMA), Que.",2021S0503447,Apartment in a building that has five or more storeys,32.7,485,560,1.2
2021,"Drummondville (CMA), Que.",2021S0503447,Other single-attached house,32.8,165,365,2.2
2021,"Drummondville (CMA), Que.",2021S0503447,Movable dwelling,32.9,475,870,1.8
2021,"Granby (CA), Que.",2021S0504450,Total - Structural type of dwelling,33.1,41095,88250,2.2
2021,"Granby (CA), Que.",2021S0504450,Single-detached house,33.2,18515,47520,2.6
2021,"Granby (CA), Que.",2021S0504450,Semi-detached house,33.3,3125,7515,2.4
2021,"Granby (CA), Que.",2021S0504450,Row house,33.4,580,1340,2.3
2021,"Granby (CA), Que.",2021S0504450,Apartment or flat in a duplex,33.5,2570,5170,2.0
2021,"Granby (CA), Que.",2021S0504450,Apartment in a building that has fewer than five storeys,33.6,14470,23505,1.6
2021,"Granby (CA), Que.",2021S0504450,Apartment in a building that has five or more storeys,33.7,515,755,1.5
2021,"Granby (CA), Que.",2021S0504450,Other single-attached house,33.8,505,905,1.8
2021,"Granby (CA), Que.",2021S0504450,Movable dwelling,33.9,815,1535,1.9
2021,"Joliette (CA), Que.",2021S0504456,Total - Structural type of dwelling,34.1,24565,50165,2.0
2021,"Joliette (CA), Que.",2021S0504456,Single-detached house,34.2,11150,27430,2.5
2021,"Joliette (CA), Que.",2021S0504456,Semi-detached house,34.3,730,1565,2.1
2021,"Joliette (CA), Que.",2021S0504456,Row house,34.4,515,1000,2.0
2021,"Joliette (CA), Que.",2021S0504456,Apartment or flat in a duplex,34.5,1920,3775,2.0
2021,"Joliette (CA), Que.",2021S0504456,Apartment in a building that has fewer than five storeys,34.6,9815,15640,1.6
2021,"Joliette (CA), Que.",2021S0504456,Apartment in a building that has five or more storeys,34.7,215,290,1.4
2021,"Joliette (CA), Que.",2021S0504456,Other single-attached house,34.8,170,365,2.2
2021,"Joliette (CA), Que.",2021S0504456,Movable dwelling,34.9,50,100,2.0
2021,"Lachute (CA), Que.",2021S0504468,Total - Structural type of dwelling,35.1,6535,13365,2.1
2021,"Lachute (CA), Que.",2021S0504468,Single-detached house,35.2,3230,7575,2.4
2021,"Lachute (CA), Que.",2021S0504468,Semi-detached house,35.3,195,430,2.2
2021,"Lachute (CA), Que.",2021S0504468,Row house,35.4,120,270,2.3
2021,"Lachute (CA), Que.",2021S0504468,Apartment or flat in a duplex,35.5,675,1290,1.9
2021,"Lachute (CA), Que.",2021S0504468,Apartment in a building that has fewer than five storeys,35.6,2250,3680,1.6
2021,"Lachute (CA), Que.",2021S0504468,Apartment in a building that has five or more storeys,35.7,0,0,0.0
2021,"Lachute (CA), Que.",2021S0504468,Other single-attached house,35.8,60,115,2.0
2021,"Lachute (CA), Que.",2021S0504468,Movable dwelling,35.9,5,5,1.2
2021,"Matane (CA), Que.",2021S0504403,Total - Structural type of dwelling,36.1,9170,18010,2.0
2021,"Matane (CA), Que.",2021S0504403,Single-detached house,36.2,5860,12850,2.2
2021,"Matane (CA), Que.",2021S0504403,Semi-detached house,36.3,395,815,2.1
2021,"Matane (CA), Que.",2021S0504403,Row house,36.4,105,195,1.9
2021,"Matane (CA), Que.",2021S0504403,Apartment or flat in a duplex,36.5,575,975,1.7
2021,"Matane (CA), Que.",2021S0504403,Apartment in a building that has fewer than five storeys,36.6,1995,2720,1.4
2021,"Matane (CA), Que.",2021S0504403,Apartment in a building that has five or more storeys,36.7,10,20,1.7
2021,"Matane (CA), Que.",2021S0504403,Other single-attached house,36.8,40,80,2.0
2021,"Matane (CA), Que.",2021S0504403,Movable dwelling,36.9,195,350,1.8
2021,"Montréal (CMA), Que.",2021S0503462,Total - Structural type of dwelling,37.1,1835695,4206380,2.3
2021,"Montréal (CMA), Que.",2021S0503462,Single-detached house,37.2,582880,1657030,2.8
2021,"Montréal (CMA), Que.",2021S0503462,Semi-detached house,37.3,89795,247885,2.8
2021,"Montréal (CMA), Que.",2021S0503462,Row house,37.4,59765,158135,2.7
2021,"Montréal (CMA), Que.",2021S0503462,Apartment or flat in a duplex,37.5,150105,346465,2.3
2021,"Montréal (CMA), Que.",2021S0503462,Apartment in a building that has fewer than five storeys,37.6,758870,1469865,1.9
2021,"Montréal (CMA), Que.",2021S0503462,Apartment in a building that has five or more storeys,37.7,183500,304165,1.7
2021,"Montréal (CMA), Que.",2021S0503462,Other single-attached house,37.8,6415,14390,2.2
2021,"Montréal (CMA), Que.",2021S0503462,Movable dwelling,37.9,4365,8455,1.9
2021,"Québec (CMA), Que.",2021S0503421,Total - Structural type of dwelling,38.1,387955,817105,2.1
2021,"Québec (CMA), Que.",2021S0503421,Single-detached house,38.2,156800,411310,2.6
2021,"Québec (CMA), Que.",2021S0503421,Semi-detached house,38.3,22595,54265,2.4
2021,"Québec (CMA), Que.",2021S0503421,Row house,38.4,9380,20775,2.2
2021,"Québec (CMA), Que.",2021S0503421,Apartment or flat in a duplex,38.5,22845,45015,2.0
2021,"Québec (CMA), Que.",2021S0503421,Apartment in a building that has fewer than five storeys,38.6,145325,237790,1.6
2021,"Québec (CMA), Que.",2021S0503421,Apartment in a building that has five or more storeys,38.7,26870,39795,1.5
2021,"Québec (CMA), Que.",2021S0503421,Other single-attached house,38.8,1330,2755,2.1
2021,"Québec (CMA), Que.",2021S0503421,Movable dwelling,38.9,2810,5395,1.9
2021,"Rimouski (CA), Que.",2021S0504404,Total - Structural type of dwelling,39.1,25615,52475,2.1
2021,"Rimouski (CA), Que.",2021S0504404,Single-detached house,39.2,13315,32495,2.4
2021,"Rimouski (CA), Que.",2021S0504404,Semi-detached house,39.3,2275,4740,2.1
2021,"Rimouski (CA), Que.",2021S0504404,Row house,39.4,635,1030,1.6
2021,"Rimouski (CA), Que.",2021S0504404,Apartment or flat in a duplex,39.5,1190,2135,1.8
2021,"Rimouski (CA), Que.",2021S0504404,Apartment in a building that has fewer than five storeys,39.6,7355,10790,1.5
2021,"Rimouski (CA), Que.",2021S0504404,Apartment in a building that has five or more storeys,39.7,490,575,1.2
2021,"Rimouski (CA), Que.",2021S0504404,Other single-attached house,39.8,135,310,2.3
2021,"Rimouski (CA), Que.",2021S0504404,Movable dwelling,39.9,215,410,1.9
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Total - Structural type of dwelling,40.1,13735,28680,2.1
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Single-detached house,40.2,7425,18325,2.5
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Semi-detached house,40.3,825,1795,2.2
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Row house,40.4,185,335,1.8
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Apartment or flat in a duplex,40.5,680,1265,1.9
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Apartment in a building that has fewer than five storeys,40.6,4315,6350,1.5
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Apartment in a building that has five or more storeys,40.7,50,70,1.5
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Other single-attached house,40.8,120,280,2.4
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,Movable dwelling,40.9,140,255,1.8
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Structural type of dwelling,41.1,19280,41285,2.1
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Single-detached house,41.2,10295,26045,2.5
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Semi-detached house,41.3,1115,2355,2.1
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Row house,41.4,115,210,1.9
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Apartment or flat in a duplex,41.5,1675,3230,1.9
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Apartment in a building that has fewer than five storeys,41.6,5660,8710,1.5
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Apartment in a building that has five or more storeys,41.7,60,70,1.3
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Other single-attached house,41.8,140,220,1.6
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Movable dwelling,41.9,235,440,1.9
2021,"Saguenay (CMA), Que.",2021S0503408,Total - Structural type of dwelling,42.1,74810,157920,2.1
2021,"Saguenay (CMA), Que.",2021S0503408,Single-detached house,42.2,38460,94700,2.5
2021,"Saguenay (CMA), Que.",2021S0503408,Semi-detached house,42.3,5755,12360,2.2
2021,"Saguenay (CMA), Que.",2021S0503408,Row house,42.4,1660,3510,2.1
2021,"Saguenay (CMA), Que.",2021S0503408,Apartment or flat in a duplex,42.5,9330,17650,1.9
2021,"Saguenay (CMA), Que.",2021S0503408,Apartment in a building that has fewer than five storeys,42.6,17870,27175,1.5
2021,"Saguenay (CMA), Que.",2021S0503408,Apartment in a building that has five or more storeys,42.7,1055,1270,1.2
2021,"Saguenay (CMA), Que.",2021S0503408,Other single-attached house,42.8,240,420,1.8
2021,"Saguenay (CMA), Que.",2021S0503408,Movable dwelling,42.9,445,830,1.9
2021,"Saint-Georges (CA), Que.",2021S0504428,Total - Structural type of dwelling,43.1,16140,33985,2.1
2021,"Saint-Georges (CA), Que.",2021S0504428,Single-detached house,43.2,9125,22610,2.5
2021,"Saint-Georges (CA), Que.",2021S0504428,Semi-detached house,43.3,1740,3720,2.1
2021,"Saint-Georges (CA), Que.",2021S0504428,Row house,43.4,235,350,1.5
2021,"Saint-Georges (CA), Que.",2021S0504428,Apartment or flat in a duplex,43.5,700,1185,1.7
2021,"Saint-Georges (CA), Que.",2021S0504428,Apartment in a building that has fewer than five storeys,43.6,3860,5415,1.4
2021,"Saint-Georges (CA), Que.",2021S0504428,Apartment in a building that has five or more storeys,43.7,315,390,1.2
2021,"Saint-Georges (CA), Que.",2021S0504428,Other single-attached house,43.8,115,235,2.0
2021,"Saint-Georges (CA), Que.",2021S0504428,Movable dwelling,43.9,40,80,1.9
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Total - Structural type of dwelling,44.1,27960,57570,2.1
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Single-detached house,44.2,10100,25725,2.6
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Semi-detached house,44.3,1570,3600,2.3
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Row house,44.4,650,1615,2.5
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Apartment or flat in a duplex,44.5,2305,4550,2.0
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Apartment in a building that has fewer than five storeys,44.6,12895,21335,1.7
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Apartment in a building that has five or more storeys,44.7,140,160,1.1
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Other single-attached house,44.8,210,415,2.0
2021,"Saint-Hyacinthe (CA), Que.",2021S0504452,Movable dwelling,44.9,100,180,1.8
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Total - Structural type of dwelling,45.1,9670,19415,2.0
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Single-detached house,45.2,5905,12915,2.2
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Semi-detached house,45.3,190,405,2.1
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Row house,45.4,220,370,1.7
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Apartment or flat in a duplex,45.5,1570,2925,1.9
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Apartment in a building that has fewer than five storeys,45.6,1590,2475,1.6
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Apartment in a building that has five or more storeys,45.7,0,5,0.0
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Other single-attached house,45.8,40,75,2.1
2021,"Sainte-Agathe-des-Monts (CA), Que.",2021S0504467,Movable dwelling,45.9,160,245,1.5
2021,"Sainte-Marie (CA), Que.",2021S0504423,Total - Structural type of dwelling,46.1,5500,12640,2.3
2021,"Sainte-Marie (CA), Que.",2021S0504423,Single-detached house,46.2,3200,8400,2.6
2021,"Sainte-Marie (CA), Que.",2021S0504423,Semi-detached house,46.3,845,1900,2.2
2021,"Sainte-Marie (CA), Que.",2021S0504423,Row house,46.4,125,220,1.8
2021,"Sainte-Marie (CA), Que.",2021S0504423,Apartment or flat in a duplex,46.5,150,250,1.7
2021,"Sainte-Marie (CA), Que.",2021S0504423,Apartment in a building that has fewer than five storeys,46.6,1090,1715,1.6
2021,"Sainte-Marie (CA), Que.",2021S0504423,Apartment in a building that has five or more storeys,46.7,0,0,0.0
2021,"Sainte-Marie (CA), Que.",2021S0504423,Other single-attached house,46.8,15,20,1.6
2021,"Sainte-Marie (CA), Que.",2021S0504423,Movable dwelling,46.9,65,125,1.9
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Total - Structural type of dwelling,47.1,20070,41200,2.1
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Single-detached house,47.2,9150,22065,2.4
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Semi-detached house,47.3,1235,2745,2.2
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Row house,47.4,390,815,2.1
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Apartment or flat in a duplex,47.5,2695,5185,1.9
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Apartment in a building that has fewer than five storeys,47.6,6535,10275,1.6
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Apartment in a building that has five or more storeys,47.7,5,0,
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Other single-attached house,47.8,55,100,1.8
2021,"Salaberry-de-Valleyfield (CA), Que.",2021S0504465,Movable dwelling,47.9,5,5,1.6
2021,"Sept-Îles (CA), Que.",2021S0504412,Total - Structural type of dwelling,48.1,12290,27160,2.2
2021,"Sept-Îles (CA), Que.",2021S0504412,Single-detached house,48.2,6260,16120,2.6
2021,"Sept-Îles (CA), Que.",2021S0504412,Semi-detached house,48.3,545,1275,2.4
2021,"Sept-Îles (CA), Que.",2021S0504412,Row house,48.4,475,1050,2.2
2021,"Sept-Îles (CA), Que.",2021S0504412,Apartment or flat in a duplex,48.5,515,1060,2.1
2021,"Sept-Îles (CA), Que.",2021S0504412,Apartment in a building that has fewer than five storeys,48.6,2950,4585,1.6
2021,"Sept-Îles (CA), Que.",2021S0504412,Apartment in a building that has five or more storeys,48.7,175,200,1.2
2021,"Sept-Îles (CA), Que.",2021S0504412,Other single-attached house,48.8,20,30,1.7
2021,"Sept-Îles (CA), Que.",2021S0504412,Movable dwelling,48.9,1360,2835,2.1
2021,"Shawinigan (CA), Que.",2021S0504444,Total - Structural type of dwelling,49.1,25060,47645,1.9
2021,"Shawinigan (CA), Que.",2021S0504444,Single-detached house,49.2,12495,27970,2.2
2021,"Shawinigan (CA), Que.",2021S0504444,Semi-detached house,49.3,705,1490,2.1
2021,"Shawinigan (CA), Que.",2021S0504444,Row house,49.4,225,405,1.8
2021,"Shawinigan (CA), Que.",2021S0504444,Apartment or flat in a duplex,49.5,2415,4055,1.7
2021,"Shawinigan (CA), Que.",2021S0504444,Apartment in a building that has fewer than five storeys,49.6,8820,13050,1.5
2021,"Shawinigan (CA), Que.",2021S0504444,Apartment in a building that has five or more storeys,49.7,10,25,2.0
2021,"Shawinigan (CA), Que.",2021S0504444,Other single-attached house,49.8,300,495,1.7
2021,"Shawinigan (CA), Que.",2021S0504444,Movable dwelling,49.9,90,150,1.7
2021,"Sherbrooke (CMA), Que.",2021S0503433,Total - Structural type of dwelling,50.1,104650,220110,2.1
2021,"Sherbrooke (CMA), Que.",2021S0503433,Single-detached house,50.2,45575,116245,2.6
2021,"Sherbrooke (CMA), Que.",2021S0503433,Semi-detached house,50.3,4890,11220,2.3
2021,"Sherbrooke (CMA), Que.",2021S0503433,Row house,50.4,2800,6175,2.2
2021,"Sherbrooke (CMA), Que.",2021S0503433,Apartment or flat in a duplex,50.5,6010,11515,1.9
2021,"Sherbrooke (CMA), Que.",2021S0503433,Apartment in a building that has fewer than five storeys,50.6,41955,69710,1.7
2021,"Sherbrooke (CMA), Que.",2021S0503433,Apartment in a building that has five or more storeys,50.7,2480,3550,1.4
2021,"Sherbrooke (CMA), Que.",2021S0503433,Other single-attached house,50.8,365,620,1.7
2021,"Sherbrooke (CMA), Que.",2021S0503433,Movable dwelling,50.9,565,1075,1.9
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Total - Structural type of dwelling,51.1,20310,40455,2.0
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Single-detached house,51.2,11325,25935,2.3
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Semi-detached house,51.3,1100,2140,1.9
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Row house,51.4,375,675,1.8
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Apartment or flat in a duplex,51.5,1775,3150,1.8
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Apartment in a building that has fewer than five storeys,51.6,5430,8070,1.5
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Apartment in a building that has five or more storeys,51.7,150,180,1.2
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Other single-attached house,51.8,95,220,2.3
2021,"Sorel-Tracy (CA), Que.",2021S0504454,Movable dwelling,51.9,55,90,1.6
2021,"Thetford Mines (CA), Que.",2021S0504430,Total - Structural type of dwelling,52.1,13260,26425,2.0
2021,"Thetford Mines (CA), Que.",2021S0504430,Single-detached house,52.2,8610,19390,2.3
2021,"Thetford Mines (CA), Que.",2021S0504430,Semi-detached house,52.3,220,395,1.8
2021,"Thetford Mines (CA), Que.",2021S0504430,Row house,52.4,90,150,1.7
2021,"Thetford Mines (CA), Que.",2021S0504430,Apartment or flat in a duplex,52.5,1430,2320,1.6
2021,"Thetford Mines (CA), Que.",2021S0504430,Apartment in a building that has fewer than five storeys,52.6,2695,3775,1.4
2021,"Thetford Mines (CA), Que.",2021S0504430,Apartment in a building that has five or more storeys,52.7,0,0,0.0
2021,"Thetford Mines (CA), Que.",2021S0504430,Other single-attached house,52.8,70,145,2.0
2021,"Thetford Mines (CA), Que.",2021S0504430,Movable dwelling,52.9,145,250,1.7
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Total - Structural type of dwelling,53.1,76635,155535,2.0
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Single-detached house,53.2,35045,85325,2.4
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Semi-detached house,53.3,5115,11505,2.3
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Row house,53.4,1975,3805,1.9
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Apartment or flat in a duplex,53.5,5220,9535,1.8
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Apartment in a building that has fewer than five storeys,53.6,27535,42820,1.6
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Apartment in a building that has five or more storeys,53.7,1110,1345,1.2
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Other single-attached house,53.8,365,710,2.0
2021,"Trois-Rivières (CMA), Que.",2021S0503442,Movable dwelling,53.9,270,485,1.8
2021,"Val-d'Or (CA), Que.",2021S0504480,Total - Structural type of dwelling,54.1,15375,33420,2.2
2021,"Val-d'Or (CA), Que.",2021S0504480,Single-detached house,54.2,8030,20640,2.6
2021,"Val-d'Or (CA), Que.",2021S0504480,Semi-detached house,54.3,620,1360,2.2
2021,"Val-d'Or (CA), Que.",2021S0504480,Row house,54.4,295,690,2.3
2021,"Val-d'Or (CA), Que.",2021S0504480,Apartment or flat in a duplex,54.5,1590,3185,2.0
2021,"Val-d'Or (CA), Que.",2021S0504480,Apartment in a building that has fewer than five storeys,54.6,4350,6775,1.6
2021,"Val-d'Or (CA), Que.",2021S0504480,Apartment in a building that has five or more storeys,54.7,225,255,1.1
2021,"Val-d'Or (CA), Que.",2021S0504480,Other single-attached house,54.8,40,70,1.8
2021,"Val-d'Or (CA), Que.",2021S0504480,Movable dwelling,54.9,220,450,2.0
2021,"Victoriaville (CA), Que.",2021S0504440,Total - Structural type of dwelling,55.1,23910,50555,2.1
2021,"Victoriaville (CA), Que.",2021S0504440,Single-detached house,55.2,12210,30715,2.5
2021,"Victoriaville (CA), Que.",2021S0504440,Semi-detached house,55.3,2420,5585,2.3
2021,"Victoriaville (CA), Que.",2021S0504440,Row house,55.4,190,365,1.9
2021,"Victoriaville (CA), Que.",2021S0504440,Apartment or flat in a duplex,55.5,1290,2220,1.7
2021,"Victoriaville (CA), Que.",2021S0504440,Apartment in a building that has fewer than five storeys,55.6,7685,11465,1.5
2021,"Victoriaville (CA), Que.",2021S0504440,Apartment in a building that has five or more storeys,55.7,5,10,1.4
2021,"Victoriaville (CA), Que.",2021S0504440,Other single-attached house,55.8,35,85,2.4
2021,"Victoriaville (CA), Que.",2021S0504440,Movable dwelling,55.9,75,115,1.6
2021,Ontario,2021A000235,Total - Structural type of dwelling,56.1,5491200,14031755,2.6
2021,Ontario,2021A000235,Single-detached house,56.2,2942995,8395185,2.9
2021,Ontario,2021A000235,Semi-detached house,56.3,303260,884410,2.9
2021,Ontario,2021A000235,Row house,56.4,505265,1368165,2.7
2021,Ontario,2021A000235,Apartment or flat in a duplex,56.5,181030,458045,2.5
2021,Ontario,2021A000235,Apartment in a building that has fewer than five storeys,56.6,548785,1014270,1.9
2021,Ontario,2021A000235,Apartment in a building that has five or more storeys,56.7,984665,1860070,1.9
2021,Ontario,2021A000235,Other single-attached house,56.8,10220,23220,2.3
2021,Ontario,2021A000235,Movable dwelling,56.9,14985,28375,1.9
2021,"Barrie (CMA), Ont.",2021S0503568,Total - Structural type of dwelling,57.1,78540,210155,2.7
2021,"Barrie (CMA), Ont.",2021S0503568,Single-detached house,57.2,53395,156190,2.9
2021,"Barrie (CMA), Ont.",2021S0503568,Semi-detached house,57.3,2470,6900,2.8
2021,"Barrie (CMA), Ont.",2021S0503568,Row house,57.4,7020,18045,2.6
2021,"Barrie (CMA), Ont.",2021S0503568,Apartment or flat in a duplex,57.5,4180,9695,2.3
2021,"Barrie (CMA), Ont.",2021S0503568,Apartment in a building that has fewer than five storeys,57.6,6895,11940,1.7
2021,"Barrie (CMA), Ont.",2021S0503568,Apartment in a building that has five or more storeys,57.7,4435,7075,1.6
2021,"Barrie (CMA), Ont.",2021S0503568,Other single-attached house,57.8,70,170,2.5
2021,"Barrie (CMA), Ont.",2021S0503568,Movable dwelling,57.9,75,130,1.8
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Total - Structural type of dwelling,58.1,46210,109245,2.4
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Single-detached house,58.2,31790,81785,2.6
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Semi-detached house,58.3,1605,4060,2.5
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Row house,58.4,2245,5115,2.3
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Apartment or flat in a duplex,58.5,1035,2290,2.2
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Apartment in a building that has fewer than five storeys,58.6,6355,10895,1.7
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Apartment in a building that has five or more storeys,58.7,2635,4010,1.5
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Other single-attached house,58.8,165,355,2.1
2021,"Belleville - Quinte West (CMA), Ont.",2021S0503522,Movable dwelling,58.9,390,730,1.9
2021,"Brantford (CMA), Ont.",2021S0503543,Total - Structural type of dwelling,59.1,56005,141905,2.5
2021,"Brantford (CMA), Ont.",2021S0503543,Single-detached house,59.2,36830,102285,2.8
2021,"Brantford (CMA), Ont.",2021S0503543,Semi-detached house,59.3,2905,7760,2.7
2021,"Brantford (CMA), Ont.",2021S0503543,Row house,59.4,4735,11560,2.4
2021,"Brantford (CMA), Ont.",2021S0503543,Apartment or flat in a duplex,59.5,1775,3645,2.1
2021,"Brantford (CMA), Ont.",2021S0503543,Apartment in a building that has fewer than five storeys,59.6,5025,8630,1.7
2021,"Brantford (CMA), Ont.",2021S0503543,Apartment in a building that has five or more storeys,59.7,4550,7680,1.7
2021,"Brantford (CMA), Ont.",2021S0503543,Other single-attached house,59.8,105,220,2.1
2021,"Brantford (CMA), Ont.",2021S0503543,Movable dwelling,59.9,75,130,1.7
2021,"Brockville (CA), Ont.",2021S0504512,Total - Structural type of dwelling,60.1,14440,30885,2.1
2021,"Brockville (CA), Ont.",2021S0504512,Single-detached house,60.2,8650,20690,2.4
2021,"Brockville (CA), Ont.",2021S0504512,Semi-detached house,60.3,990,2195,2.2
2021,"Brockville (CA), Ont.",2021S0504512,Row house,60.4,850,1780,2.1
2021,"Brockville (CA), Ont.",2021S0504512,Apartment or flat in a duplex,60.5,125,220,1.8
2021,"Brockville (CA), Ont.",2021S0504512,Apartment in a building that has fewer than five storeys,60.6,3010,4845,1.6
2021,"Brockville (CA), Ont.",2021S0504512,Apartment in a building that has five or more storeys,60.7,685,920,1.3
2021,"Brockville (CA), Ont.",2021S0504512,Other single-attached house,60.8,90,155,1.7
2021,"Brockville (CA), Ont.",2021S0504512,Movable dwelling,60.9,40,70,1.8
2021,"Centre Wellington (CA), Ont.",2021S0504531,Total - Structural type of dwelling,61.1,11970,30645,2.6
2021,"Centre Wellington (CA), Ont.",2021S0504531,Single-detached house,61.2,8690,24360,2.8
2021,"Centre Wellington (CA), Ont.",2021S0504531,Semi-detached house,61.3,570,1350,2.4
2021,"Centre Wellington (CA), Ont.",2021S0504531,Row house,61.4,740,1650,2.2
2021,"Centre Wellington (CA), Ont.",2021S0504531,Apartment or flat in a duplex,61.5,180,340,1.9
2021,"Centre Wellington (CA), Ont.",2021S0504531,Apartment in a building that has fewer than five storeys,61.6,1575,2560,1.6
2021,"Centre Wellington (CA), Ont.",2021S0504531,Apartment in a building that has five or more storeys,61.7,110,160,1.5
2021,"Centre Wellington (CA), Ont.",2021S0504531,Other single-attached house,61.8,15,30,1.9
2021,"Centre Wellington (CA), Ont.",2021S0504531,Movable dwelling,61.9,105,200,2.0
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Total - Structural type of dwelling,62.1,44180,102095,2.3
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Single-detached house,62.2,33580,82750,2.5
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Semi-detached house,62.3,1445,3215,2.2
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Row house,62.4,1540,3565,2.3
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Apartment or flat in a duplex,62.5,735,1445,2.0
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Apartment in a building that has fewer than five storeys,62.6,5090,8440,1.7
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Apartment in a building that has five or more storeys,62.7,1540,2215,1.4
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Other single-attached house,62.8,80,155,2.0
2021,"Chatham-Kent (CA), Ont.",2021S0504556,Movable dwelling,62.9,175,305,1.8
2021,"Cobourg (CA), Ont.",2021S0504527,Total - Structural type of dwelling,63.1,9135,19780,2.2
2021,"Cobourg (CA), Ont.",2021S0504527,Single-detached house,63.2,5255,12840,2.4
2021,"Cobourg (CA), Ont.",2021S0504527,Semi-detached house,63.3,405,900,2.2
2021,"Cobourg (CA), Ont.",2021S0504527,Row house,63.4,1120,2365,2.1
2021,"Cobourg (CA), Ont.",2021S0504527,Apartment or flat in a duplex,63.5,170,340,2.0
