Date,Mortgage Rate,Interest Rate
"Tuesday, December 18, 1962",3.51,0.5
"Wednesday, December 19, 1962",3.45,0.5
"Thursday, December 20, 1962",3.42,0.5
"Friday, December 21, 1962",3.34,0.5
"Saturday, December 22, 1962",3.3,0.5
"Sunday, December 23, 1962",3.25,0.5
"Monday, December 24, 1962",3.26,0.5
"Tuesday, December 25, 1962",3.25,0.5
"Wednesday, December 26, 1962",3.25,0.5
"Thursday, December 27, 1962",3.26,0.5
"Friday, December 28, 1962",3.2,0.5
"Saturday, December 29, 1962",3.2,0.5
"Sunday, December 30, 1962",3.22,0.5
"Monday, December 31, 1962",3.29,0.5
"Tuesday, January 1, 1963",3.4,0.5
"Wednesday, January 2, 1963",3.45,0.5
"Thursday, January 3, 1963",3.44,0.5
"Friday, January 4, 1963",3.58,0.5
"Saturday, January 5, 1963",3.77,0.75
"Sunday, January 6, 1963",4.19,1.25
"Monday, January 7, 1963",4.63,1.25
"Tuesday, January 8, 1963",5.05,1.45
"Wednesday, January 9, 1963",5.51,1.44
"Thursday, January 10, 1963",5.58,2.46
"Friday, January 11, 1963",5.64,2.46
"Saturday, January 12, 1963",5.75,3.23
"Sunday, January 13, 1963",5.88,3.73
"Monday, January 14, 1963",5.89,3.74
"Tuesday, January 15, 1963",5.86,4.26
